,painting index,img src,painting title,season,episode,num colors,youtube src,colors,color hex,black gesso,bright red,burnt umber,cadmium yellow,dark sienna,indian red,indian yellow,liquid black,liquid clear,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,alizarin crimson
64,241,https://www.twoinchbrush.com/images/painting241.png,indian girl,5,12,5,https://www.youtube.com/embed/2uxmx8kjs8i,"[bright red, burnt umber, indian yellow, prussian blue, titanium white]","[#db0000, #8a3324, #ffb800, #021e44, #ffffff]",0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
66,217,https://www.twoinchbrush.com/images/painting217.png,blue river,6,1,12,https://www.youtube.com/embed/lyguyab78oy,"[alizarin crimson, black gesso, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
71,222,https://www.twoinchbrush.com/images/painting222.png,snow trail,6,6,8,https://www.youtube.com/embed/n9esfftwzne,"[alizarin crimson, burnt umber, cadmium yellow, phthalo blue, phthalo green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #8a3324, #ffec00, #0c0040, #102e3c, #ffffff, #221b15, #c79b00]",0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
73,224,https://www.twoinchbrush.com/images/painting224.png,horizons west,6,8,7,https://www.youtube.com/embed/m6um-rn2d6s,"[alizarin crimson, bright red, cadmium yellow, indian yellow, prussian blue, titanium white, van dyke brown]","[#4e1500, #db0000, #ffec00, #ffb800, #021e44, #ffffff, #221b15]",0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1
77,228,https://www.twoinchbrush.com/images/painting228.png,marshlands,6,12,11,https://www.youtube.com/embed/ugiwi8uizpg,"[alizarin crimson, black gesso, bright red, burnt umber, cadmium yellow, indian yellow, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #8a3324, #ffec00, #ffb800, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
79,203,https://www.twoinchbrush.com/images/painting203.png,winter cabin,7,1,6,https://www.youtube.com/embed/kdlhv6cei gw,"[bright red, dark sienna, prussian blue, titanium white, van dyke brown, yellow ochre]","[#db0000, #5f2e1f, #021e44, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
80,204,https://www.twoinchbrush.com/images/painting204.png,secluded lake,7,2,12,https://www.youtube.com/embed/2oxsjcfvpou,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, phthalo green, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #102e3c, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1
81,205,https://www.twoinchbrush.com/images/painting205.png,evergreens at sunset,7,3,7,https://www.youtube.com/embed/yqpey3hygo8,"[alizarin crimson, bright red, cadmium yellow, indian yellow, midnight black, sap green, titanium white]","[#4e1500, #db0000, #ffec00, #ffb800, #000000, #0a3410, #ffffff]",0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
83,208,https://www.twoinchbrush.com/images/painting208.png,portrait of sally,7,5,8,https://www.youtube.com/embed/mhjb0ibnud4,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, phthalo blue, titanium white, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #0c0040, #ffffff, #c79b00]",0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1
84,209,https://www.twoinchbrush.com/images/painting209.png,misty waterfall,7,6,11,https://www.youtube.com/embed/530 cvmexii,"[alizarin crimson, bright red, dark sienna, indian yellow, midnight black, phthalo blue, phthalo green, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #5f2e1f, #ffb800, #000000, #0c0040, #102e3c, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1
85,210,https://www.twoinchbrush.com/images/painting210.png,barn at sunset,7,7,10,https://www.youtube.com/embed/wt6n0k2zgna,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1
86,211,https://www.twoinchbrush.com/images/painting211.png,mountain splendor,7,8,11,https://www.youtube.com/embed/ghogzmppuse,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1
87,212,https://www.twoinchbrush.com/images/painting212.png,lake by mountain,7,9,11,https://www.youtube.com/embed/yaiyirlcq7o,"[alizarin crimson, bright red, cadmium yellow, indian yellow, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
88,213,https://www.twoinchbrush.com/images/painting213.png,mountain glory,7,10,11,https://www.youtube.com/embed/0m9pwlhrr2c,"[bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0
89,214,https://www.twoinchbrush.com/images/painting214.png,grey winter,7,11,3,https://www.youtube.com/embed/ss-hnygduak,"[alizarin crimson, midnight black, titanium white]","[#4e1500, #000000, #ffffff]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
90,215,https://www.twoinchbrush.com/images/painting215.png,dock scene,7,12,9,https://www.youtube.com/embed/4kyxkqlzyqm,"[bright red, cadmium yellow, dark sienna, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#db0000, #ffec00, #5f2e1f, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0
91,216,https://www.twoinchbrush.com/images/painting216.png,dark waterfall,7,13,11,https://www.youtube.com/embed/vqmbl00ezqw,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, liquid black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1
92,190,https://www.twoinchbrush.com/images/painting190.png,misty rolling hills,8,1,10,https://www.youtube.com/embed/cc5ozepvkgi,"[alizarin crimson, bright red, cadmium yellow, indian yellow, midnight black, phthalo blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #000000, #0c0040, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1
99,197,https://www.twoinchbrush.com/images/painting197.png,foot of the mountain,8,8,13,https://www.youtube.com/embed/ciubuc itbc,"[alizarin crimson, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, phthalo blue, phthalo green, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #0c0040, #102e3c, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
101,199,https://www.twoinchbrush.com/images/painting199.png,cactus at sunset,8,10,10,https://www.youtube.com/embed/xbqd3qhku24,"[alizarin crimson, black gesso, bright red, cadmium yellow, dark sienna, indian yellow, midnight black, titanium white, van dyke brown, yellow ochre]","[#4e1500, #000000, #db0000, #ffec00, #5f2e1f, #ffb800, #000000, #ffffff, #221b15, #c79b00]",1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1
102,200,https://www.twoinchbrush.com/images/painting200.png,mountain range,8,11,10,https://www.youtube.com/embed/v l6olf3yhi,"[alizarin crimson, bright red, cadmium yellow, indian yellow, phthalo blue, prussian blue, sap green, titanium white, van dyke brown, yellow ochre]","[#4e1500, #db0000, #ffec00, #ffb800, #0c0040, #021e44, #0a3410, #ffffff, #221b15, #c79b00]",0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
