,painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson
62,239,https://www.twoinchbrush.com/images/painting239.png,The Windmill,5,10,11,https://www.youtube.com/embed/xj8xsTSkbUk,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Phthalo Blue"", ""Phthalo Green"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#0C0040"", ""#102E3C"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
63,240,https://www.twoinchbrush.com/images/painting240.png,Autumn Glory,5,11,8,https://www.youtube.com/embed/yTzlm_t0RmY,"[""Alizarin Crimson"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15""]",0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1
64,241,https://www.twoinchbrush.com/images/painting241.png,Indian Girl,5,12,5,https://www.youtube.com/embed/2uXMx8Kjs8I,"[""Bright Red"", ""Burnt Umber"", ""Indian Yellow"", ""Prussian Blue"", ""Titanium White""]","[""#DB0000"", ""#8A3324"", ""#FFB800"", ""#021E44"", ""#FFFFFF""]",0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
66,217,https://www.twoinchbrush.com/images/painting217.png,Blue River,6,1,12,https://www.youtube.com/embed/LygUyAb78oY,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Prussian Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#021E44"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
71,222,https://www.twoinchbrush.com/images/painting222.png,Snow Trail,6,6,8,https://www.youtube.com/embed/n9EsFFtwZnE,"[""Alizarin Crimson"", ""Burnt Umber"", ""Cadmium Yellow"", ""Phthalo Blue"", ""Phthalo Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#8A3324"", ""#FFEC00"", ""#0C0040"", ""#102E3C"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
73,224,https://www.twoinchbrush.com/images/painting224.png,Horizons West,6,8,7,https://www.youtube.com/embed/m6UM-rN2D6s,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Indian Yellow"", ""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#FFB800"", ""#021E44"", ""#FFFFFF"", ""#221B15""]",0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1
77,228,https://www.twoinchbrush.com/images/painting228.png,Marshlands,6,12,11,https://www.youtube.com/embed/Ugiwi8uizpg,"[""Alizarin Crimson"", ""Black Gesso"", ""Bright Red"", ""Burnt Umber"", ""Cadmium Yellow"", ""Indian Yellow"", ""Phthalo Blue"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#000000"", ""#DB0000"", ""#8A3324"", ""#FFEC00"", ""#FFB800"", ""#0C0040"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
79,203,https://www.twoinchbrush.com/images/painting203.png,Winter Cabin,7,1,6,https://www.youtube.com/embed/kdlHV6ceI_gw,"[""Bright Red"", ""Dark Sienna"", ""Prussian Blue"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#DB0000"", ""#5F2E1F"", ""#021E44"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
80,204,https://www.twoinchbrush.com/images/painting204.png,Secluded Lake,7,2,12,https://www.youtube.com/embed/2OxSJcFvpoU,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Dark Sienna"", ""Indian Yellow"", ""Midnight Black"", ""Phthalo Blue"", ""Phthalo Green"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#5F2E1F"", ""#FFB800"", ""#000000"", ""#0C0040"", ""#102E3C"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1
81,205,https://www.twoinchbrush.com/images/painting205.png,Evergreens at Sunset,7,3,7,https://www.youtube.com/embed/YQPEy3hYGo8,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Indian Yellow"", ""Midnight Black"", ""Sap Green"", ""Titanium White""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#FFB800"", ""#000000"", ""#0A3410"", ""#FFFFFF""]",0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
83,208,https://www.twoinchbrush.com/images/painting208.png,Portrait of Sally,7,5,8,https://www.youtube.com/embed/MHJB0IBnuD4,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Dark Sienna"", ""Indian Yellow"", ""Phthalo Blue"", ""Titanium White"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#5F2E1F"", ""#FFB800"", ""#0C0040"", ""#FFFFFF"", ""#C79B00""]",0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1
84,209,https://www.twoinchbrush.com/images/painting209.png,Misty Waterfall,7,6,11,https://www.youtube.com/embed/530_cVmexiI,"[""Alizarin Crimson"", ""Bright Red"", ""Dark Sienna"", ""Indian Yellow"", ""Midnight Black"", ""Phthalo Blue"", ""Phthalo Green"", ""Sap Green"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#5F2E1F"", ""#FFB800"", ""#000000"", ""#0C0040"", ""#102E3C"", ""#0A3410"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1
85,210,https://www.twoinchbrush.com/images/painting210.png,Barn at Sunset,7,7,10,https://www.youtube.com/embed/WT6n0K2zGnA,"[""Alizarin Crimson"", ""Bright Red"", ""Cadmium Yellow"", ""Dark Sienna"", ""Indian Yellow"", ""Midnight Black"", ""Phthalo Blue"", ""Titanium White"", ""Van Dyke Brown"", ""Yellow Ochre""]","[""#4E1500"", ""#DB0000"", ""#FFEC00"", ""#5F2E1F"", ""#FFB800"", ""#000000"", ""#0C0040"", ""#FFFFFF"", ""#221B15"", ""#C79B00""]",0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1
